Project name,Release,Class name,Size,NR,NAuth,Age,MAX_LOC_ADDED,LOC_ADDED,AVG_LOC_ADDDED,Churn,AVG_CHURN,buggyness
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/compiler/JLong.java,39,8,2,51,39,235,29,39,4,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/compiler/CGenerator.java,88,10,3,51,84,514,51,88,8,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/compiler/JDouble.java,41,8,2,51,41,247,30,41,5,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/compiler/JRecord.java,508,11,4,51,508,3059,278,508,46,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/compiler/JFile.java,75,9,2,51,73,445,49,75,8,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/compiler/JByte.java,35,8,2,51,35,211,26,35,4,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/compiler/JMap.java,101,8,2,51,101,608,76,101,12,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/compiler/JType.java,142,8,2,51,142,853,106,142,17,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/compiler/JInt.java,35,8,2,51,35,211,26,35,4,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/compiler/JCompType.java,55,8,2,51,55,331,41,55,6,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/compiler/JBuffer.java,107,8,2,51,107,649,81,107,13,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/compiler/CppGenerator.java,83,9,2,51,79,482,53,83,9,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/compiler/JVector.java,106,9,3,51,106,640,71,106,11,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/compiler/JString.java,47,8,2,51,47,283,35,47,5,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/compiler/JField.java,99,8,2,51,99,595,74,99,12,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/compiler/JavaGenerator.java,62,9,2,51,59,360,40,62,6,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/InputArchive.java,45,8,2,51,45,271,33,45,5,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/Record.java,33,8,2,51,33,199,24,33,4,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/Utils.java,278,9,3,51,276,1661,184,278,30,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/BinaryOutputArchive.java,149,10,3,51,149,907,90,149,14,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/OutputArchive.java,48,9,3,51,49,293,32,48,5,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/BinaryInputArchive.java,132,9,2,51,132,794,88,132,14,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/RecordReader.java,98,8,2,51,98,589,73,98,12,yes
ZOOKEEPER,3.0.0,zookeeper-jute/src/main/java/org/apache/jute/RecordWriter.java,117,8,2,51,117,703,87,117,14,yes
ZOOKEEPER,3.0.0,zookeeper-jute/target/generated-sources/java/org/apache/jute/compiler/generated/RccConstants.java,88,8,2,51,88,529,66,88,11,yes
ZOOKEEPER,3.0.0,zookeeper-jute/target/generated-sources/java/org/apache/jute/compiler/generated/RccTokenManager.java,833,8,2,51,833,5000,625,833,104,yes
ZOOKEEPER,3.0.0,zookeeper-jute/target/generated-sources/java/org/apache/jute/compiler/generated/Token.java,99,8,2,51,99,595,74,99,12,yes
