Dataset,#TrainingRelease,%training (data on training / total data),%Defective in training,%Defective in testing,classifier,balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
zookeeper-files/ZOOKEEPER,3,0.07421814221254085,0.06581608837715885,0.012447487163528862,NaiveBayes,UNDER,false,NONE,16.0,5.0,91.0,64.0,0.7619047619047619,0.2,0.5274088541666667,0.15760266370699222
zookeeper-files/ZOOKEEPER,3,0.07421814221254085,0.06581608837715885,0.012447487163528862,IBk,UNDER,false,NONE,66.0,86.0,10.0,14.0,0.4342105263157895,0.825,0.430078125,-0.06589147286821705
zookeeper-files/ZOOKEEPER,3,0.07421814221254085,0.06581608837715885,0.012447487163528862,Random Forest,UNDER,false,NONE,69.0,86.0,10.0,11.0,0.44516129032258067,0.8625,0.44752604166666665,-0.03091787439613527
zookeeper-files/ZOOKEEPER,4,0.10160261397230434,0.07826357554068772,0.004978994865411545,NaiveBayes,UNDER,false,NONE,17.0,51.0,137.0,15.0,0.25,0.53125,0.6510970744680851,0.17724388032638258
zookeeper-files/ZOOKEEPER,4,0.10160261397230434,0.07826357554068772,0.004978994865411545,IBk,UNDER,false,NONE,29.0,139.0,49.0,3.0,0.17261904761904762,0.90625,0.5675698138297872,0.060394610202117394
zookeeper-files/ZOOKEEPER,4,0.10160261397230434,0.07826357554068772,0.004978994865411545,Random Forest,UNDER,false,NONE,31.0,160.0,28.0,1.0,0.16230366492146597,0.96875,0.5970744680851063,0.038440655880117275
zookeeper-files/ZOOKEEPER,5,0.1358332036720087,0.08324257040609927,0.008090866656293761,NaiveBayes,UNDER,false,NONE,6.0,8.0,165.0,46.0,0.42857142857142855,0.11538461538461539,0.5392952423299244,0.09287740779453486
zookeeper-files/ZOOKEEPER,5,0.1358332036720087,0.08324257040609927,0.008090866656293761,IBk,UNDER,false,NONE,22.0,78.0,95.0,30.0,0.22,0.4230769230769231,0.4925522454424189,-0.021008403361344487
zookeeper-files/ZOOKEEPER,5,0.1358332036720087,0.08324257040609927,0.008090866656293761,Random Forest,UNDER,false,NONE,14.0,59.0,114.0,38.0,0.1917808219178082,0.2692307692307692,0.5526345042240997,-0.06292309940096429
zookeeper-files/ZOOKEEPER,6,0.17084176131943363,0.09133343706239302,0.002178310253617551,NaiveBayes,UNDER,false,NONE,3.0,21.0,213.0,11.0,0.125,0.21428571428571427,0.5894383394383395,0.09323583180987202
zookeeper-files/ZOOKEEPER,6,0.17084176131943363,0.09133343706239302,0.002178310253617551,IBk,UNDER,false,NONE,10.0,84.0,150.0,4.0,0.10638297872340426,0.7142857142857143,0.6738400488400489,0.09638953295793304
zookeeper-files/ZOOKEEPER,6,0.17084176131943363,0.09133343706239302,0.002178310253617551,Random Forest,UNDER,false,NONE,9.0,76.0,158.0,5.0,0.10588235294117647,0.6428571428571429,0.6646825396825397,0.09399242287569884
zookeeper-files/ZOOKEEPER,7,0.2094289715263731,0.09351174731601058,0.002178310253617551,NaiveBayes,UNDER,false,NONE,1.0,3.0,231.0,13.0,0.25,0.07142857142857142,0.5695970695970696,0.08823529411764623
zookeeper-files/ZOOKEEPER,7,0.2094289715263731,0.09351174731601058,0.002178310253617551,IBk,UNDER,false,NONE,9.0,21.0,213.0,5.0,0.3,0.6428571428571429,0.7945665445665445,0.35980937251787104
zookeeper-files/ZOOKEEPER,7,0.2094289715263731,0.09351174731601058,0.002178310253617551,Random Forest,UNDER,false,NONE,7.0,16.0,218.0,7.0,0.30434782608695654,0.5,0.8896520146520146,0.3314580403187998
zookeeper-files/ZOOKEEPER,8,0.24801618173331258,0.09569005756962813,0.0023339038431616616,NaiveBayes,UNDER,false,NONE,3.0,26.0,235.0,12.0,0.10344827586206896,0.2,0.5458492975734355,0.06971793507184731
zookeeper-files/ZOOKEEPER,8,0.24801618173331258,0.09569005756962813,0.0023339038431616616,IBk,UNDER,false,NONE,3.0,46.0,215.0,12.0,0.061224489795918366,0.2,0.5896551724137931,0.011485735457576772
zookeeper-files/ZOOKEEPER,8,0.24801618173331258,0.09569005756962813,0.0023339038431616616,Random Forest,UNDER,false,NONE,2.0,32.0,229.0,13.0,0.058823529411764705,0.13333333333333333,0.7074074074074074,0.006717850287908047
zookeeper-files/ZOOKEEPER,9,0.29096001244748715,0.0980239614127898,0.006223743581764431,NaiveBayes,UNDER,false,NONE,2.0,2.0,239.0,38.0,0.5,0.05,0.6181016597510374,0.06675523082032526
zookeeper-files/ZOOKEEPER,9,0.29096001244748715,0.0980239614127898,0.006223743581764431,IBk,UNDER,false,NONE,14.0,52.0,189.0,26.0,0.21212121212121213,0.35,0.5515041493775934,0.1056067901738351
zookeeper-files/ZOOKEEPER,9,0.29096001244748715,0.0980239614127898,0.006223743581764431,Random Forest,UNDER,false,NONE,5.0,31.0,210.0,35.0,0.1388888888888889,0.125,0.604201244813278,-0.0037886988525655235
zookeeper-files/ZOOKEEPER,10,0.3346818111093823,0.10424770499455423,0.01369223587988175,NaiveBayes,UNDER,false,NONE,8.0,8.0,239.0,80.0,0.5,0.09090909090909091,0.6887191755612808,0.07944041968523599
zookeeper-files/ZOOKEEPER,10,0.3346818111093823,0.10424770499455423,0.01369223587988175,IBk,UNDER,false,NONE,22.0,29.0,218.0,66.0,0.43137254901960786,0.25,0.5592565329407435,0.15334273324642825
zookeeper-files/ZOOKEEPER,10,0.3346818111093823,0.10424770499455423,0.01369223587988175,Random Forest,UNDER,false,NONE,10.0,14.0,233.0,78.0,0.4166666666666667,0.11363636363636363,0.6253910563121089,0.07436328688130729
